Data,Interwencje,Zatrzymani_Goracy_Uczynek,Zatrzymani_Poszukiwani,Kierujacy_Alkohol,Wypadki_Drogowe,Zabici,Ranni
2026-03-20,18162,605,440,200,45,1,57
2026-03-19,17119,580,440,207,37,2,41
2026-03-18,17024,538,416,200,51,2,54
2026-03-17,15720,524,444,168,41,1,50
2026-03-16,16208,564,400,264,40,0,48
2026-03-15,14702,529,198,273,44,6,56
2026-03-14,18645,596,278,330,54,4,58
2026-03-13,18669,572,472,241,55,3,64
2026-03-12,17374,611,468,234,35,1,42
2026-03-11,17683,662,437,249,60,2,68
2026-03-10,17273,523,428,182,37,2,44
2026-03-09,16793,731,351,540,59,0,67
2026-03-08,14418,484,197,265,44,4,47
2026-03-07,17811,572,243,265,52,1,59
2026-03-06,18033,521,380,198,76,6,84
2026-03-05,16375,589,423,223,53,1,55
2026-03-04,16491,546,448,185,55,3,57
2026-03-03,17458,526,1061,174,45,4,53
2026-03-02,17443,474,1238,211,47,2,51
2026-03-01,14671,495,206,264,41,6,46
2026-02-28,18397,597,247,324,74,6,93
2026-02-27,18107,556,377,206,48,6,56
2026-02-26,16591,582,372,218,40,3,45
2026-02-25,16121,494,416,184,36,3,38
2026-02-24,16144,500,408,160,35,3,34
2026-02-23,16007,509,304,189,33,3,39
2026-02-22,12681,426,197,184,24,3,27
2026-02-21,15155,470,248,202,35,5,40
2026-02-20,16504,479,435,161,35,2,45
2026-02-19,15276,488,466,125,36,3,60
2026-02-18,15677,519,423,150,35,5,35
2026-02-17,15320,446,504,137,48,4,58
2026-02-16,15327,552,359,263,32,4,35
2026-02-15,13042,410,216,184,25,3,29
2026-02-14,16126,528,246,216,30,1,36
2026-02-13,17680,506,490,183,36,3,39
2026-02-12,16568,475,510,148,46,2,73
2026-02-11,16667,511,531,158,48,4,58
2026-02-10,15940,529,449,168,28,4,32
2026-02-09,15343,507,388,199,29,3,29
2026-02-08,13164,442,208,199,19,1,25
2026-02-07,16190,490,288,216,26,3,34
2026-02-06,16810,454,416,133,36,5,42
2026-02-05,15934,464,438,117,46,1,56
2026-02-04,15693,434,410,119,36,1,39
2026-02-03,15390,445,450,127,26,2,28
2026-02-02,15498,383,356,138,37,7,40
2026-02-01,12765,362,186,141,14,1,28
2026-01-31,15427,460,226,167,24,2,30
2026-01-30,15410,434,490,136,36,3,40
2026-01-29,14686,474,459,132,34,2,39
2026-01-28,15478,477,497,152,39,5,46
2026-01-27,15200,504,601,126,27,4,25
2026-01-26,15946,497,386,182,52,1,62
2026-01-25,14110,492,283,199,26,0,39
2026-01-24,15633,473,252,195,19,1,25
2026-01-23,16270,503,475,143,29,4,32
2026-01-22,15739,444,568,133,35,1,42
2026-01-21,16191,488,484,141,41,2,49
2026-01-20,15877,427,409,109,55,3,62
2026-01-19,15754,473,413,180,40,4,40
2026-01-18,13185,397,215,161,19,1,29
2026-01-17,15718,450,270,185,31,1,37
2026-01-16,17605,507,486,143,42,0,48
2026-01-15,16157,466,541,157,31,2,36
2026-01-14,15433,427,528,123,28,1,36
2026-01-13,15170,412,435,119,29,0,37
2026-01-12,15207,406,396,129,43,2,55
2026-01-11,12684,316,193,138,25,3,24
2026-01-10,15192,417,219,152,19,0,30
2026-01-09,15910,379,404,109,35,2,40
2026-01-08,14508,374,408,88,38,3,37
2026-01-07,14960,597,445,335,40,2,57
2026-01-06,11958,356,244,129,26,1,33
2026-01-05,15327,446,353,164,31,0,34
2026-01-04,11733,351,195,121,23,2,29
2026-01-03,14443,384,273,132,24,2,29
2026-01-02,15241,450,428,188,34,3,42
2026-01-01,17442,536,251,244,26,6,30
2025-12-31,15657,333,217,111,34,2,42
2025-12-30,15644,333,338,98,37,1,44
2025-12-29,15305,335,350,152,33,4,43
2025-12-28,12253,347,214,133,13,2,13
2025-12-27,14205,324,197,135,43,7,44
2025-12-26,12516,307,136,168,62,3,109
2025-12-25,12062,288,142,155,14,2,17
2025-12-24,11725,313,207,161,23,7,29
2025-12-23,17062,428,460,184,52,5,59
2025-12-22,17737,440,624,169,48,4,51
2025-12-21,15857,518,253,250,37,6,39
2025-12-20,17978,515,273,228,53,3,59
2025-12-19,19030,476,394,210,89,11,99
2025-12-18,16244,445,465,129,71,8,81
2025-12-17,16225,454,502,169,52,4,58
2025-12-16,16244,465,469,162,69,7,78
2025-12-15,16013,447,367,169,57,2,66
2025-12-14,14372,519,225,247,40,2,51
2025-12-16,16759,519,251,237,56,4,67
2025-12-12,17901,532,371,221,67,5,72
2025-12-11,16432,487,420,180,61,5,67
2025-12-10,16573,569,486,209,68,2,81
2025-12-09,15972,440,443,134,79,3,88
2025-12-08,16235,514,380,277,54,7,57
2025-12-07,14338,515,231,222,27,1,37
2025-12-06,16697,514,251,246,56,6,58
2025-12-05,17506,459,383,189,80,3,86
2025-12-04,15830,482,391,184,54,4,65
2025-12-03,15716,427,456,141,51,2,58
2025-12-02,15395,445,410,131,37,3,42
2025-12-01,15421,685,368,434,55,5,65
2025-11-30,13749,532,195,281,31,1,43
2025-11-29,15768,540,226,281,34,4,44
2025-11-28,16589,406,336,149,48,2,53
2025-11-27,16209,416,389,138,48,5,50
2025-11-26,15528,412,375,122,62,1,73
2025-11-25,15372,413,339,139,44,7,58
2025-11-24,15079,448,291,202,45,5,55
2025-11-23,14087,418,190,224,42,3,60
2025-11-22,16363,463,189,224,34,2,42
2025-11-21,16956,417,329,188,46,1,48
2025-11-20,15262,464,346,167,53,3,65
2025-11-19,15360,460,324,140,48,2,54
2025-11-18,15643,494,921,179,61,3,80
2025-11-17,15917,498,1042,238,83,6,92
2025-11-16,13125,497,214,239,40,8,48
2025-11-15,16140,531,215,262,60,3,79
2025-11-14,16673,492,329,199,61,1,74
2025-11-13,15466,516,359,230,48,5,56
2025-11-12,15699,631,312,407,45,3,53
2025-11-11,12934,578,274,319,38,2,50
2025-11-10,16203,532,298,263,57,2,75
2025-11-09,13521,575,199,284,48,7,58
2025-11-08,16895,593,234,288,44,2,59
2025-11-07,17959,545,427,246,61,7,61
2025-11-06,16015,555,414,248,61,5,63
2025-11-05,16018,539,416,226,62,1,70
2025-11-04,16269,504,398,169,65,4,73
2025-11-03,15374,639,330,397,61,6,69
2025-11-02,13601,549,245,327,36,3,46
2025-11-01,15985,553,265,290,54,2,79
2025-10-31,21130,579,411,228,92,4,105
2025-10-30,17070,527,438,210,78,8,94
2025-10-29,16496,560,543,195,78,6,84
2025-10-28,15715,457,528,161,72,3,81
2025-10-27,15858,579,416,238,58,5,63
